POS,Name,First.Name,Last.Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,CType,ST,CID,Tier,Title,L10,VAR,VLvl,CON,BABIP,GAP,POW,EYE,K.s,BA.vL,CON.vL,GAP.vL,POW.vL,EYE.vL,K.vL,BA.vR,CON.vR,GAP.vR,POW.vR,EYE.vR,K.vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU.vL,MOV.vL,CON.vL.1,PBABIP.vL,HRR.vL,STU.vR,MOV.vR,CON.vR.1,PBABIP.vR,HRR.vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G.F,VELO,Slot,PT,STM,HLD,C.ABI,C.FRM,C.ARM,IF.RNG,IF.ERR,IF.ARM,TDP,OF.RNG,OF.ERR,OF.ARM,P,C,X1B,X2B,X3B,SS,LF,CF,RF,P.Pot,C.Pot,X1B.Pot,X2B.Pot,X3B.Pot,SS.Pot,LF.Pot,CF.Pot,RF.Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,X1B.1,X2B.1,X3B.1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,SO,GIDP,RC,OPS,WPA,wRC,wRAA,WAR,PI.PA,SB,CS,BatR,wSB,UBR,BsR,G.1,GS.1,W,L,HLD.1,SD,MD,IP,BF,AB.1,X1B.2,X2B.2,X3B.2,HR.1,R.1,ER,BB.1,IBB.1,K,HP.1,SH.1,SF.1,WP,BK,CI.1,DP,GF,IR,IRS,pLi,PI,GB,FB.1,SB.1,CS.1,WPA.1,WAR.1,rWAR,SIERA,POS.1,G.2,GS.2,TC,A,PO,E,DP.1,TP,RNG,ZR,EFF,SBA,RTO,IP.1,PB,CER,BIZ.R,BIZ.Rm,BIZ.L,BIZ.Lm,BIZ.E,BIZ.Em,BIZ.U,BIZ.Um,BIZ.Z,BIZ.Zm,FRM,ARM,exptime
SS,Willy Adames,Willy,Adames,Novaves Beavers,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,6,6,28,28,6,4,0,0,2,3,2,0,0,0,0,0,0,8,1,2.1,0.643,-0.37,2,-1,0,4.25,0,0,-1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,30,23,7,0,3,0,4.85,0.4,1.034,0,0,55.2,0,0,19,18,3,2,2,1,2,0,4,1,0,0,2025-12-30 23:36:16.129973
SS,Willy Adames,Willy,Adames,Corpus Christi Swingers,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,4,4,25,21,4,3,0,0,1,2,1,4,0,0,0,0,0,5,0,2.6,0.653,-0.03,2,-0.3,-0,3.4,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,24,15,9,0,5,0,4.44,-0.8,0.903,0,0,48.2,0,0,12,12,5,1,2,1,7,1,2,0,0,0,2025-12-30 23:36:16.129973
SS,Willy Adames,Willy,Adames,Harry's Clubs TTC,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,7,7,32,29,13,9,2,0,2,10,6,3,0,0,0,0,0,8,0,10.9,1.224,0.66,9,5.4,0.6,3.97,0,0,5.4,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,44,25,18,1,8,0,5.78,-0.1,0.99,0,0,67,0,0,20,17,4,3,3,1,4,3,5,0,0,0,2025-12-30 23:36:16.129973
SS,Willy Adames,Willy,Adames,Moria Balrogs,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,6,6,24,22,6,3,1,0,2,4,4,1,0,0,0,1,0,8,0,4,0.883,-0.2,3,0.9,0.1,4.04,0,0,0.9,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,11,6,4,1,3,0,3.33,-0.3,0.903,0,0,27,0,0,7,6,1,0,0,0,2,0,1,1,0,0,2025-12-30 23:36:16.129973
2B,Willy Adames,Willy,Adames,Burlington Bees,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,5,4,14,13,6,4,1,0,1,2,3,1,0,0,0,0,0,1,0,5.1,1.269,0.45,4,2.6,0.3,3.71,0,0,2.6,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,17,9,7,1,2,0,4.11,-0.3,0.921,0,0,35,0,0,10,9,1,1,4,1,1,0,2,1,0,0,2025-12-30 23:36:16.129973
SS,Willy Adames,Willy,Adames,Lyman Greyhounds - PCK,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,12,11,42,38,5,2,2,0,1,6,2,4,0,0,0,0,0,9,1,1.8,0.477,0.32,1,-3.4,-0.4,3.79,0,1,-3.4,-0.5,-1.1,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,11,47,35,11,1,3,0,4.36,-1,0.97,0,0,95,0,0,39,37,5,2,5,0,3,1,12,1,0,0,2025-12-30 23:36:16.129973
SS,Willy Adames,Willy,Adames,Indiana Rhubarbs,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,15,15,65,59,11,6,2,0,3,8,8,5,0,1,0,0,0,19,1,5.8,0.634,-0.17,5,-1.9,0.3,4.06,0,0,-1.9,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,15,74,44,27,3,11,0,4.82,1.2,0.978,0,0,132.2,0,0,43,38,2,1,3,3,11,8,6,1,0,0,2025-12-30 23:36:16.129973
SS,Willy Adames,Willy,Adames,Michigan Wolves,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,3,2,9,8,1,0,1,0,0,1,0,1,0,0,0,0,0,4,1,0.3,0.472,0.07,0,-0.7,-0.1,4.22,0,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,9,6,3,0,3,0,4.76,-0.1,1.034,0,0,17,0,0,5,3,1,1,3,2,0,0,0,0,0,0,2025-12-30 23:36:16.129973
2B,Willy Adames,Willy,Adames,Lehigh Iron Pigs,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,12,12,51,44,7,4,2,0,1,1,4,7,0,0,0,0,0,14,1,3.5,0.547,-0.24,3,-2.5,-0.1,4.47,0,0,-2.5,0,-0.4,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,12,56,36,19,1,8,1,4.68,-0.2,1.003,0,0,105.2,0,0,31,28,4,1,2,1,6,3,4,0,0,0,2025-12-30 23:36:16.129973
SS,Willy Adames,Willy,Adames,Nashua Dodgers,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,29,27,109,105,30,15,10,0,5,20,12,3,0,1,0,0,0,26,3,15.9,0.836,-0.07,16,3.7,0.8,4.14,0,0,3.7,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,27,119,74,44,1,15,0,4.46,-0.5,1.02,0,0,238,0,0,64,56,9,4,16,6,16,4,16,5,0,0,2025-12-30 23:36:16.129973
