POS,Name,First.Name,Last.Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,CType,ST,CID,Tier,Title,L10,VAR,VLvl,CON,BABIP,GAP,POW,EYE,K.s,BA.vL,CON.vL,GAP.vL,POW.vL,EYE.vL,K.vL,BA.vR,CON.vR,GAP.vR,POW.vR,EYE.vR,K.vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU.vL,MOV.vL,CON.vL.1,PBABIP.vL,HRR.vL,STU.vR,MOV.vR,CON.vR.1,PBABIP.vR,HRR.vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G.F,VELO,Slot,PT,STM,HLD,C.ABI,C.FRM,C.ARM,IF.RNG,IF.ERR,IF.ARM,TDP,OF.RNG,OF.ERR,OF.ARM,P,C,X1B,X2B,X3B,SS,LF,CF,RF,P.Pot,C.Pot,X1B.Pot,X2B.Pot,X3B.Pot,SS.Pot,LF.Pot,CF.Pot,RF.Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,X1B.1,X2B.1,X3B.1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,SO,GIDP,RC,OPS,WPA,wRC,wRAA,WAR,PI.PA,SB,CS,BatR,wSB,UBR,BsR,G.1,GS.1,W,L,HLD.1,SD,MD,IP,BF,AB.1,X1B.2,X2B.2,X3B.2,HR.1,R.1,ER,BB.1,IBB.1,K,HP.1,SH.1,SF.1,WP,BK,CI.1,DP,GF,IR,IRS,pLi,PI,GB,FB.1,SB.1,CS.1,WPA.1,WAR.1,rWAR,SIERA,POS.1,G.2,GS.2,TC,A,PO,E,DP.1,TP,RNG,ZR,EFF,SBA,RTO,IP.1,PB,CER,BIZ.R,BIZ.Rm,BIZ.L,BIZ.Lm,BIZ.E,BIZ.Em,BIZ.U,BIZ.Um,BIZ.Z,BIZ.Zm,FRM,ARM,exptime
1B,Tommie Aaron,Tommie,Aaron,Nashua Dodgers,6' 1',200 lbs,R,R,49,Milwaukee Braves,ATL,1962,1961-1979,RS,NA,72893,Iron,April Fools Day - Rookie Sensation  1B Tommie Aaron  ML1  1962,0,Y,5,69,63,119,72,94,78,94,100,158,20,87,101,53,61,110,87,96,71,26,7,Normal,Spray,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,90-92,3/4,Normal,1,15,NA,NA,NA,56,45,48,31,53,52,61,NA,NA,83,44,37,NA,66,NA,NA,106,NA,83,44,37,NA,66,NA,NA,46,34,93,53,6,5,20,18,4,3,1,0,0,1,2,2,0,0,0,0,0,1,0,1.7,0.578,-0.17,1,-0.7,-0.1,4.2,0,0,-0.7,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,25,6,19,0,5,0,8.44,-0.1,1.064,0,0,26.2,0,0,10,9,0,0,1,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
CL,Mike Baumann,Mike,Baumann,Watertown Pirates,6' 4',240 lbs,R,R,49,Miami Marlins,FLA,2025,2025,2025Live,NA,72283,Iron,MLB 2025 Live  RP Mike Baumann  MIA,0,N,-1,21,22,17,18,15,21,23,22,18,20,16,23,22,21,17,18,15,21,24,25,Normal,Normal,Normal,72,63,63,68,61,72,63,63,68,61,73,64,64,68,62,104,54,76,82,NA,NA,NA,NA,NA,NA,NA,NA,4,FB,97-99,OTT,Normal,19,50,1,1,3,32,24,39,17,47,53,56,68,NA,56,1,6,NA,53,12,44,68,NA,56,1,6,NA,53,12,44,16,17,16,14,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,0,0,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.7,1,1,0,0,0,0,0,0,10.95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
C,Bob Boone,Bob,Boone,Georgia (Tech) On My Mind,6' 2',200 lbs,R,R,49,Kansas City Royals,KCR,1989,1980-1992,HaH,CS,75436,Iron,Clubhouse - Hardware Heroes  C Bob Boone  KC  1989,0,N,-1,106,77,49,14,95,142,77,117,48,5,136,179,78,103,50,18,84,130,60,5,Normal,Normal,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,90-92,3/4,Normal,1,2,110,93,98,5,7,6,1,1,7,8,NA,112,NA,NA,NA,NA,NA,NA,NA,8,112,NA,NA,NA,NA,NA,NA,NA,39,18,28,24,14,6,27,24,5,4,1,0,0,2,2,1,0,1,0,1,0,1,0,1.8,0.509,-0.45,1,-1.8,-0,3.85,0,0,-1.8,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,34,1,32,1,1,0,4.57,0,0,1,0,65,0,28,1,1,0,0,1,1,0,0,0,0,0.1,0,2026-01-01 17:09:44.725086
C,Bob Boone,Bob,Boone,Castroville Mashers - DCFC,6' 2',200 lbs,R,R,49,Kansas City Royals,KCR,1989,1980-1992,HaH,CS,75436,Iron,Clubhouse - Hardware Heroes  C Bob Boone  KC  1989,0,Y,5,115,84,54,16,104,154,84,127,53,6,148,194,85,112,55,20,92,141,60,5,Normal,Normal,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,90-92,3/4,Normal,1,2,110,93,98,5,7,6,1,1,7,8,NA,121,NA,NA,NA,NA,NA,NA,NA,9,121,NA,NA,NA,NA,NA,NA,NA,39,18,28,24,8,4,17,17,4,2,1,0,1,3,5,0,0,0,0,0,0,0,0,1.9,0.706,-0.05,1,-0.2,0.1,4.47,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,24,3,21,0,0,0,5.68,0.3,1.052,0,0,38,0,15,3,3,0,0,1,1,0,0,0,0,0,0,2026-01-01 17:09:44.725086
C,Bob Boone,Bob,Boone,London Clash,6' 2',200 lbs,R,R,49,Kansas City Royals,KCR,1989,1980-1992,HaH,CS,75436,Iron,Clubhouse - Hardware Heroes  C Bob Boone  KC  1989,0,N,-1,106,77,49,14,95,142,77,117,48,5,136,179,78,103,50,18,84,130,60,5,Normal,Normal,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,90-92,3/4,Normal,1,2,110,93,98,5,7,6,1,1,7,8,NA,112,NA,NA,NA,NA,NA,NA,NA,8,112,NA,NA,NA,NA,NA,NA,NA,39,18,28,24,5,3,14,14,3,3,0,0,0,1,2,0,0,0,0,0,0,4,0,0.6,0.429,-0.12,0,-1.4,-0.1,3,0,0,-1.4,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,11,0,11,0,0,0,3.81,0,0,1,0,26,0,10,1,1,0,0,0,0,0,0,0,0,-0.1,0,2026-01-01 17:09:44.725086
C,Bob Boone,Bob,Boone,Oklahoma Twisters,6' 2',200 lbs,R,R,49,Kansas City Royals,KCR,1989,1980-1992,HaH,CS,75436,Iron,Clubhouse - Hardware Heroes  C Bob Boone  KC  1989,0,Y,1,109,79,50,15,98,146,79,120,49,6,140,184,80,106,51,19,86,133,60,5,Normal,Normal,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,90-92,3/4,Normal,1,2,110,93,98,5,7,6,1,1,7,8,NA,115,NA,NA,NA,NA,NA,NA,NA,9,115,NA,NA,NA,NA,NA,NA,NA,39,18,28,24,8,7,31,28,9,5,2,1,1,4,7,3,0,0,0,0,0,1,0,6.5,0.959,-0.05,6,2.5,0.3,4.35,0,0,2.5,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,30,4,26,0,1,0,4.2,0.3,1.052,1,0,64.1,0,29,1,1,0,0,1,1,0,0,0,0,-0.5,0,2026-01-01 17:09:44.725086
SP,Chase Burns,Chase,Burns,Chicago Commies,6' 3',210 lbs,R,R,49,Cincinnati Reds,CIN,2025,2025,2025Live,NA,74309,Iron,MLB 2025 Live  SP Chase Burns  CIN,0,N,-1,18,16,15,11,14,21,16,18,15,11,14,21,16,18,15,11,14,21,79,22,Normal,Normal,Normal,84,69,58,69,70,81,68,58,67,69,87,71,59,70,72,129,86,121,124,NA,NA,NA,NA,NA,NA,NA,NA,4,NEU,97-99,3/4,Normal,61,45,3,3,2,27,15,59,20,13,20,21,58,NA,43,NA,2,NA,NA,NA,NA,58,NA,43,NA,2,NA,NA,NA,NA,16,7,14,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,1,0,1,0,0,0,6.1,30,25,3,1,0,0,3,2,4,0,2,1,0,0,0,0,0,0,0,0,0,1.36,116,7,10,0,0,0.1,0.1,0.1,6.69,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
RP,Chase Burns,Chase,Burns,Genericsville Generics,6' 3',210 lbs,R,R,49,Cincinnati Reds,CIN,2025,2025,2025Live,NA,74309,Iron,MLB 2025 Live  SP Chase Burns  CIN,0,N,-1,18,16,15,11,14,21,16,18,15,11,14,21,16,18,15,11,14,21,79,22,Normal,Normal,Normal,84,69,58,69,70,81,68,58,67,69,87,71,59,70,72,129,86,121,124,NA,NA,NA,NA,NA,NA,NA,NA,4,NEU,97-99,3/4,Normal,61,45,3,3,2,27,15,59,20,13,20,21,58,NA,43,NA,2,NA,NA,NA,NA,58,NA,43,NA,2,NA,NA,NA,NA,16,7,14,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,5,0,2,0,1,2,1,6,25,23,5,1,1,1,2,2,1,0,7,0,0,1,0,0,0,2,2,4,1,1.79,108,5,4,0,0,-0.1,0.1,0.2,2.49,1,5,0,1,1,0,0,0,0,1.5,0,1.093,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0.1,0,2026-01-01 17:09:44.725086
SP,Chase Burns,Chase,Burns,Tyler Thumbsmashers,6' 3',210 lbs,R,R,49,Cincinnati Reds,CIN,2025,2025,2025Live,NA,74309,Iron,MLB 2025 Live  SP Chase Burns  CIN,0,N,-1,18,16,15,11,14,21,16,18,15,11,14,21,16,18,15,11,14,21,79,22,Normal,Normal,Normal,84,69,58,69,70,81,68,58,67,69,87,71,59,70,72,129,86,121,124,NA,NA,NA,NA,NA,NA,NA,NA,4,NEU,97-99,3/4,Normal,61,45,3,3,2,27,15,59,20,13,20,21,58,NA,43,NA,2,NA,NA,NA,NA,58,NA,43,NA,2,NA,NA,NA,NA,16,7,14,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,1,1,0,0,0,0,6.1,30,24,4,1,1,0,3,3,6,0,5,0,0,0,0,0,0,0,0,0,0,1.25,100,5,7,0,0,-0,0.1,0.1,5.86,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
SP,Chase Burns,Chase,Burns,Flint Glizzards,6' 3',210 lbs,R,R,49,Cincinnati Reds,CIN,2025,2025,2025Live,NA,74309,Iron,MLB 2025 Live  SP Chase Burns  CIN,0,N,-1,18,16,15,11,14,21,16,18,15,11,14,21,16,18,15,11,14,21,79,22,Normal,Normal,Normal,84,69,58,69,70,81,68,58,67,69,87,71,59,70,72,129,86,121,124,NA,NA,NA,NA,NA,NA,NA,NA,4,NEU,97-99,3/4,Normal,61,45,3,3,2,27,15,59,20,13,20,21,58,NA,43,NA,2,NA,NA,NA,NA,58,NA,43,NA,2,NA,NA,NA,NA,16,7,14,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,1,0,1,0,0,0,5.2,25,24,5,2,0,0,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0.96,94,4,10,1,0,-0.1,0.2,0.1,4.49,1,1,1,0,0,0,0,0,0,0,-0.1,0,1,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
