POS,Name,First.Name,Last.Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,CType,ST,CID,Tier,Title,L10,VAR,VLvl,CON,BABIP,GAP,POW,EYE,K.s,BA.vL,CON.vL,GAP.vL,POW.vL,EYE.vL,K.vL,BA.vR,CON.vR,GAP.vR,POW.vR,EYE.vR,K.vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU.vL,MOV.vL,CON.vL.1,PBABIP.vL,HRR.vL,STU.vR,MOV.vR,CON.vR.1,PBABIP.vR,HRR.vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G.F,VELO,Slot,PT,STM,HLD,C.ABI,C.FRM,C.ARM,IF.RNG,IF.ERR,IF.ARM,TDP,OF.RNG,OF.ERR,OF.ARM,P,C,X1B,X2B,X3B,SS,LF,CF,RF,P.Pot,C.Pot,X1B.Pot,X2B.Pot,X3B.Pot,SS.Pot,LF.Pot,CF.Pot,RF.Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,X1B.1,X2B.1,X3B.1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,SO,GIDP,RC,OPS,WPA,wRC,wRAA,WAR,PI.PA,SB,CS,BatR,wSB,UBR,BsR,G.1,GS.1,W,L,HLD.1,SD,MD,IP,BF,AB.1,X1B.2,X2B.2,X3B.2,HR.1,R.1,ER,BB.1,IBB.1,K,HP.1,SH.1,SF.1,WP,BK,CI.1,DP,GF,IR,IRS,pLi,PI,GB,FB.1,SB.1,CS.1,WPA.1,WAR.1,rWAR,SIERA,POS.1,G.2,GS.2,TC,A,PO,E,DP.1,TP,RNG,ZR,EFF,SBA,RTO,IP.1,PB,CER,BIZ.R,BIZ.Rm,BIZ.L,BIZ.Lm,BIZ.E,BIZ.Em,BIZ.U,BIZ.Um,BIZ.Z,BIZ.Zm,FRM,ARM,exptime
SS,Willy Adames,Willy,Adames,San Diego Billie Goats,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,16,16,77,71,18,8,5,0,5,13,14,6,0,0,0,0,0,20,2,11.5,0.847,-0.02,10,-3.1,-0.1,3.65,1,0,-3.1,0.2,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-30 23:32:19.263036
SS,Willy Adames,Willy,Adames,Ohio Players,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,3,2,10,9,3,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1.5,1.111,0.23,1,-0,0,2.3,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,7,5,2,0,2,0,5.73,0,1.047,0,0,11,0,0,4,3,0,0,1,1,0,0,0,0,0,0,2025-12-30 23:32:19.263036
SS,Willy Adames,Willy,Adames,Swindon Squirrels,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,11,9,46,38,10,5,4,0,1,9,5,8,3,0,0,0,0,7,2,6.4,0.839,1,5,-2.8,-0.2,3.63,0,0,-2.8,0,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,44,18,24,2,6,0,4.65,-0.9,0.927,0,0,81.1,0,0,18,13,9,8,3,1,3,0,8,1,0,0,2025-12-30 23:32:19.263036
SS,Willy Adames,Willy,Adames,Falls Church Tigers,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,10,10,44,37,9,5,1,0,3,6,9,6,1,0,0,1,0,6,1,6.6,0.854,0.14,5,-2.2,-0.1,4,0,0,-2.2,0,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,49,30,17,2,4,0,5.12,-0.7,0.98,0,0,82.2,0,0,32,30,4,1,5,2,7,1,6,1,0,0,2025-12-30 23:32:19.263036
SS,Willy Adames,Willy,Adames,Charlotte Hellcats Too,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,19,19,92,83,25,11,7,0,7,14,20,7,1,0,2,0,0,12,3,16.9,0.994,0.8,15,-0.1,-0,3.64,0,1,-0.1,-0.5,-1.6,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,19,95,57,34,4,9,0,4.88,-2.1,0.939,0,0,168,0,0,61,54,11,4,12,6,9,2,15,3,0,0,2025-12-30 23:32:19.263036
2B,Willy Adames,Willy,Adames,Watertown Sword Guys TBD,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,25,25,140,117,44,28,7,1,8,45,51,17,2,2,1,3,0,12,1,36.4,1.111,0.49,33,9.4,1.1,3.92,0,1,9.4,-0.5,-0.6,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,25,147,85,59,3,17,0,5.84,2.6,1.068,0,0,222,0,0,84,78,11,11,14,7,10,0,14,2,0,0,2025-12-30 23:32:19.263036
SS,Willy Adames,Willy,Adames,Dollar Dragonflies,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,5,5,20,17,4,3,1,0,0,2,0,2,0,0,0,1,0,5,2,1.2,0.594,-0.08,1,-2.3,-0.1,3.05,0,0,-2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,22,15,6,1,4,0,4.4,-0.5,0.978,0,0,43,0,0,17,16,2,0,1,0,2,0,5,1,0,0,2025-12-30 23:32:19.263036
SS,Willy Adames,Willy,Adames,Orlando Arcias,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,13,7,38,36,10,4,3,2,1,7,10,2,0,0,0,0,0,8,0,6.5,0.871,0.45,5,-1.2,-0,3.42,0,0,-1.2,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,30,18,11,1,7,0,4.14,-1.2,0.984,0,0,63,0,0,22,19,2,0,4,0,3,0,4,1,0,0,2025-12-30 23:32:19.263036
SS,Willy Adames,Willy,Adames,Huntsville Stars,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,6,6,30,26,8,3,4,0,1,7,3,4,0,0,0,0,0,5,0,6.4,0.977,0.58,6,0.9,0.1,3.43,0,0,0.9,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,28,18,9,1,3,0,4.58,-0.1,1.043,0,0,53,0,0,18,16,2,1,3,1,3,1,5,0,0,0,2025-12-30 23:32:19.263036
SS,Willy Adames,Willy,Adames,Ungentlemanly Fightin' Fellows TTC,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,9,9,45,40,12,10,2,0,0,3,6,4,0,0,0,1,0,4,2,4.6,0.706,0.04,5,-2.7,-0.1,3.67,1,1,-2.7,-0.4,-0.2,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,49,33,13,3,2,0,5.31,0.2,0.951,0,0,78,0,0,36,33,1,1,4,2,5,1,5,2,0,0,2025-12-30 23:32:19.263036
